sid,FS_headline_cert,FS_headline_lcb,FS_matched_cert,FS_matched_lcb,BOX250_cert,BOX250_lcb,BOX250_ucb,BOX250_width,BOX500_cert,BOX500_lcb,BOX500_ucb,BOX500_width,BOX1000_cert,BOX1000_lcb,BOX1000_ucb,BOX1000_width,BOX2000_cert,BOX2000_lcb,BOX2000_ucb,BOX2000_width
officehome_convnext_frozen__split05__seed3,1,0.11667315855446346,1,0.10561197706050085,1,0.1931873785665511,0.18836979107400206,0.15523531682215394,1,0.2043859129909382,0.1866243917588793,0.10947833806332496,1,0.21134609168137736,0.18171410957594755,0.07654668872059314,1,0.20907427506522847,0.18185793779664092,0.054150697162521105
officehome_convnext_frozen__split05__seed4,1,0.10820371272937505,0,0.0,1,0.19101970445850777,0.18219151511550769,0.15400864814507587,1,0.19174442972236574,0.17890269652198798,0.10854051154397815,1,0.1945955208230274,0.17748263699380223,0.0766255200591808,1,0.19426391193643547,0.17719824222695035,0.05408814694317435
officehome_convnext_frozen__split06__seed0,0,0.0,0,0.0,1,0.12776880876570534,0.18312418600217134,0.15444240289167058,1,0.13371035056368005,0.1806642295992552,0.10902368235191597,1,0.1462577499291902,0.17431354589836484,0.07611853431480592,1,0.1466810181388133,0.17088036393309936,0.05391108456238123
officehome_convnext_frozen__split06__seed1,1,0.07926654228065015,1,0.07866418577373871,1,0.15842386965122393,0.190545068990366,0.15390796028319034,1,0.16248820989286578,0.18869836303116277,0.10905782654517929,1,0.1693709816275521,0.18505983019871736,0.07644052082147948,1,0.1769368318328111,0.18149734710671106,0.05404120821402215
officehome_convnext_frozen__split06__seed2,1,0.07623761387275077,1,0.07542782728638588,1,0.13837722692530827,0.17226122642763944,0.15292668698282452,1,0.13895913308266472,0.17266280642337764,0.10902076212381484,1,0.1459647835692516,0.1695998654963815,0.0760559041062508,1,0.15269366302297127,0.16679144630313292,0.054134220581576846
officehome_convnext_frozen__split06__seed3,1,0.10272437081401446,1,0.10204284901733061,1,0.17299620604961785,0.1953973064735569,0.1538346025072615,1,0.18033951881715243,0.19368931889259733,0.10857170575482844,1,0.18485359322641118,0.1938576991743984,0.07657134096974122,1,0.18828743466724218,0.1926142553962691,0.054171752669361944
officehome_convnext_frozen__split06__seed4,1,0.04223860774650356,1,0.041798654224863126,1,0.1423056542541951,0.1960911658959551,0.15295258427411212,1,0.149614479413828,0.19521800538970568,0.10843966817033984,1,0.14905593932329902,0.19550059439290246,0.07689074849864885,1,0.15611437486594074,0.19490597537162285,0.05405095329504373
officehome_convnext_frozen__split07__seed0,1,0.09894006931643647,1,0.0982569050530665,1,0.1598733192411933,0.16522493432531524,0.1531508298726608,1,0.16415974010435458,0.16407299645109286,0.1093824415397725,1,0.1687027351578537,0.162716219351763,0.07698199502147791,1,0.17147857325608376,0.16163367792769082,0.05405008104118956
officehome_convnext_frozen__split07__seed1,1,0.06752490112655928,1,0.06695676442282102,1,0.1338828006511222,0.16920135176225465,0.1530388925888443,1,0.1377294398628445,0.16403576624980942,0.10906408979997709,1,0.14372691712152866,0.16296396656127482,0.07663484919987573,1,0.14374348948825838,0.16243868106112713,0.05441428864667147
officehome_convnext_frozen__split07__seed2,1,0.07551547916445953,1,0.07491532256188889,1,0.12983968948062294,0.1493712798541573,0.15533320655116645,1,0.1513800179000859,0.19864938232659407,0.1085888210854928,1,0.15599013494583153,0.19982816750854937,0.07722751482863355,1,0.15964327915588786,0.1940635956108483,0.054171107905480784
officehome_convnext_frozen__split07__seed3,1,0.09168439131301655,1,0.09102542541703523,1,0.14364659820091233,0.1596633391748689,0.15361229599631343,1,0.14548461049236314,0.15900526726726616,0.10917521089512819,1,0.1492542794248949,0.15771349643872376,0.07691446588870082,1,0.15155566954384517,0.15665555803197795,0.05422297918154117
officehome_convnext_frozen__split07__seed4,1,0.1422444662509612,1,0.14143807727123656,1,0.21797064007053696,0.18287238634483566,0.1544193659073374,1,0.22988715314254823,0.17893583089210602,0.10848845859377203,1,0.22837523123235312,0.1802391483498146,0.07721710944922013,1,0.23517873564863565,0.17913332638829155,0.05406478570331588
officehome_convnext_frozen__split08__seed0,0,0.0,0,0.0,1,0.11046185183585877,0.1845432661197891,0.15428469539419964,1,0.11762781650947593,0.1787703567780039,0.10876981799460239,1,0.1215116325109173,0.17552106868291562,0.07662287234468984,1,0.1235084490098757,0.17394210634737248,0.05405535648308336
officehome_convnext_frozen__split08__seed1,0,0.0,0,0.0,0,0.0,nan,0.1553032269662176,0,0.0,nan,0.10927031515031527,0,0.0,nan,0.07654028578309524,0,0.0,nan,0.05401727967000732
