semantic_id,dataset,d,audit_n_per_client,n_cells,n_cell_replicates,certified_count,certification_rate,effective_certified_acceptance,conditional_certified_acceptance
cifar100_proser_fedavg__split02__seed0__d5.0,cifar100,5.0,256,1.0,200.0,2.0,0.01,0.000829029514632949,0.0829029514632949
cifar100_proser_fedavg__split02__seed0__d5.0,cifar100,5.0,514,1.0,200.0,75.0,0.375,0.037546729743884955,0.10012461265035986
cifar100_proser_fedavg__split02__seed0__d5.0,cifar100,5.0,1028,1.0,200.0,195.0,0.975,0.15343159357773953,0.15736573700280976
cifar100_proser_fedavg__split02__seed1__d0.1,cifar100,0.1,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed1__d0.1,cifar100,0.1,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed1__d0.1,cifar100,0.1,514,1.0,200.0,3.0,0.015,0.0008353442967837223,0.055689619785581485
cifar100_proser_fedavg__split02__seed1__d0.1,cifar100,0.1,1028,1.0,200.0,111.0,0.555,0.03429309192115743,0.06178935481289626
cifar100_proser_fedavg__split02__seed1__d0.5,cifar100,0.5,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed1__d0.5,cifar100,0.5,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed1__d0.5,cifar100,0.5,514,1.0,200.0,60.0,0.3,0.024519968916226712,0.08173322972075568
cifar100_proser_fedavg__split02__seed1__d0.5,cifar100,0.5,1028,1.0,200.0,197.0,0.985,0.12997377506002894,0.13195307112693294
cifar100_proser_fedavg__split02__seed1__d5.0,cifar100,5.0,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed1__d5.0,cifar100,5.0,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed1__d5.0,cifar100,5.0,514,1.0,200.0,33.0,0.165,0.013442211565123229,0.08146794887953471
