semantic_id,dataset,condition,selected_candidate_index,selected_score,selected_slot,selected_gamma,selected_threshold,selected_selector_sha256,evaluation_n,evaluation_A,evaluation_K,evaluation_coverage,pooled_evaluation_risk,worst_client_evaluation_risk,clients_with_zero_acceptance,accepted_known,known_accepted_errors,unknown_total,unknown_false_acceptances,unknown_share_of_accepted_errors,A_by_client,K_by_client,n_by_client,pooled_risk_le_alpha,worst_client_risk_le_alpha,proposal_certification_id_overlap,proposal_evaluation_id_overlap,certification_evaluation_id_overlap
cifar10_proser_fedavg__split04__seed1__d0.5,cifar10,d0.5,0,proser,native,0.3,0.9909731020098147,bbfb12396177d5364acf44dd6822a24d9df758bea431691a8067e4ade59c2753,2570,365,15,0.14202334630350194,0.0410958904109589,0.06153846153846154,0,350,0,770,15,1.0,"[77,75,73,65,75]","[2,4,2,4,3]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split04__seed1__d5.0,cifar10,d5,1,proser,native,0.5,0.9805524068133887,9f8696a1abe2faa27e282b174b110f5e768862c7f7d529bf5949680a49bfc039,2570,1047,106,0.4073929961089494,0.10124164278892073,0.14832535885167464,0,955,14,770,92,0.8679245283018868,"[208,209,224,200,206]","[17,31,25,12,21]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split04__seed2__d5.0,cifar10,d5,4,energy,energy,0.3,6.9795891512995185,5da0ad85174e55b6a625ee79e3db0fcf5b7cbd8f373d40e89546e55eaf2c84e9,2570,959,62,0.37315175097276265,0.06465067778936393,0.07960199004975124,0,914,17,770,45,0.7258064516129032,"[197,201,172,200,189]","[11,16,12,9,14]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split04__seed3__d5.0,cifar10,d5,1,proser,native,0.5,0.9672392283793676,274ea34cfee932080b492e75d2c02051ce23047d5ceb2708e9aeeafc09da8939,2570,1041,106,0.40505836575875487,0.10182516810758886,0.1320754716981132,0,953,18,770,88,0.8301886792452831,"[202,197,211,212,219]","[19,20,18,28,21]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split04__seed4__d0.5,cifar10,d0.5,4,energy,energy,0.3,5.591848300053523,a5e070426522b93079cea25a738ba67200b9f025844f1e0af9ba3adc21a6b6aa,2570,378,24,0.14708171206225681,0.06349206349206349,0.1125,0,366,12,770,12,0.5,"[71,80,73,69,85]","[5,9,2,3,5]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split04__seed4__d5.0,cifar10,d5,4,energy,energy,0.3,7.2449177005219205,cedbd7823f7165a393ac7a7b01a0e1896922cc8c61bc84a96d221a1c4bf7caeb,2570,767,48,0.29844357976653696,0.06258148631029987,0.09876543209876543,0,738,19,770,29,0.6041666666666666,"[155,162,150,158,142]","[8,16,12,7,5]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split05__seed0__d5.0,cifar10,d5,1,proser,native,0.5,0.9556709878819444,7f1c068a912dd5e371f97cb950dfff18cbe23664067db20bedb31cb9d6a44162,2570,1259,141,0.48988326848249025,0.11199364575059571,0.1297071129707113,0,1139,21,770,120,0.851063829787234,"[239,261,251,256,252]","[31,30,25,25,30]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split05__seed1__d0.5,cifar10,d0.5,0,proser,native,0.3,0.9518005479139628,b1a5e30cde586c716d4b5bec01e6911c4683c39ae1c302f513610869a02d5e38,2570,953,57,0.3708171206225681,0.05981112277019937,0.07142857142857142,0,906,10,770,47,0.8245614035087719,"[185,191,197,196,184]","[9,10,12,14,12]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split05__seed1__d5.0,cifar10,d5,9,margin,margin,0.5,0.9999874234199524,c8dde63327493ccceeec67bbea75282726edd6a2cd8cc4d4ae46522dc628728e,2570,1134,125,0.4412451361867704,0.11022927689594356,0.12962962962962962,0,1025,16,770,109,0.872,"[227,242,223,226,216]","[21,25,23,28,28]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split05__seed2__d0.5,cifar10,d0.5,1,proser,native,0.5,0.9598161974878215,5d72401de4a749b624422c3b8e5bf4c314d9580355f69ab14cdd6b720e5fb844,2570,1100,107,0.4280155642023346,0.09727272727272727,0.1228813559322034,0,1001,8,770,99,0.9252336448598131,"[224,197,228,215,236]","[19,17,26,16,29]","[514,514,514,514,514]",1,1,0,0,0
